rank,hanzi
1,的
2,了
3,是
4,一
5,在
6,不
7,我
8,有
9,人
10,这
11,个
12,他
13,和
14,中
15,来
16,国
17,上
18,大
19,们
20,要
21,会
22,为
23,就
24,到
25,说
26,年
27,你
28,也
29,以
30,地
31,生
32,时
33,对
34,出
35,好
36,能
37,发
38,可
39,都
40,子
41,着
42,过
43,得
44,去
45,家
46,下
47,还
48,多
49,那
50,里
51,学
52,作
53,日
54,看
55,经
56,后
57,道
58,行
59,成
60,现
61,没
62,自
63,事
64,天
65,开
66,么
67,用
68,小
69,工
70,而
71,她
72,于
73,想
74,很
75,起
76,第
77,点
78,业
79,方
80,进
81,主
82,动
83,与
84,样
85,月
86,法
87,民
88,等
89,同
90,把
91,面
92,但
93,实
94,分
95,所
96,心
97,新
98,定
99,部
100,本
101,如
102,之
103,理
104,全
105,然
106,前
107,从
108,长
109,给
110,些
111,当
112,两
113,只
114,意
115,高
116,种
117,关
118,力
119,将
120,者
121,公
122,重
123,最
124,三
125,产
126,做
127,知
128,市
129,十
130,明
131,问
132,情
133,被
134,电
135,因
136,加
137,其
138,体
139,文
140,又
141,次
142,机
143,真
144,什
145,间
146,回
147,政
148,外
149,话
150,合
151,已
152,手
153,化
154,正
155,展
156,建
157,别
158,果
159,儿
160,老
161,见
162,表
163,美
164,名
165,社
166,让
167,无
168,二
169,制
170,西
171,内
172,场
173,员
174,报
175,水
176,元
177,应
178,走
179,向
180,女
181,头
182,性
183,比
184,相
185,再
186,利
187,教
188,活
189,打
190,位
191,并
192,它
193,特
194,车
195,各
196,先
197,使
198,己
199,题
200,由
201,代
202,该
203,记
204,系
205,太
206,物
207,总
208,区
209,度
210,提
211,通
212,东
213,平
214,常
215,信
216,此
217,感
218,今
219,门
220,爱
221,解
222,入
223,安
224,资
225,保
226,干
227,万
228,认
229,结
230,及
231,身
232,更
233,义
234,任
235,放
236,北
237,才
238,目
239,务
240,几
241,海
242,四
243,品
244,世
245,快
246,斯
247,立
248,济
249,气
250,听
251,期
252,设
253,路
254,科
255,强
256,或
257,少
258,管
259,告
260,原
261,量
262,思
263,队
264,金
265,受
266,口
267,接
268,基
269,像
270,啊
271,军
272,处
273,件
274,计
275,直
276,变
277,论
278,吧
279,呢
280,候
281,书
282,决
283,农
284,组
285,觉
286,改
287,克
288,党
289,交
290,术
291,山
292,五
293,吃
294,带
295,办
296,战
297,条
298,统
299,死
300,华
301,非
302,完
303,程
304,马
305,导
306,界
307,难
308,白
309,共
310,许
311,求
312,治
313,据
314,收
315,每
316,形
317,象
318,数
319,张
320,领
321,至
322,持
323,指
324,边
325,院
326,反
327,住
328,色
329,叫
330,达
331,联
332,需
333,南
334,找
335,声
336,委
337,运
338,吗
339,神
340,京
341,何
342,司
343,尔
344,式
345,级
346,议
347,拉
348,望
349,风
350,亲
351,必
352,调
353,怎
354,技
355,跟
356,光
357,友
358,服
359,企
360,近
361,取
362,却
363,命
364,确
365,流
366,师
367,始
368,商
369,观
370,请
371,质
372,德
373,规
374,步
375,格
376,钱
377,清
378,百
379,识
380,传
381,眼
382,城
383,证
384,造
385,育
386,省
387,广
388,单
389,台
390,影
391,则
392,转
393,笑
394,际
395,选
396,增
397,深
398,准
399,精
400,乐
401,谈
402,花
403,查
404,孩
405,集
406,根
407,晚
408,士
409,切
410,网
411,离
412,整
413,字
414,研
415,局
416,图
417,视
418,价
419,项
420,团
421,专
422,语
423,王
424,革
425,权
426,周
427,欢
428,志
429,便
430,片
431,村
432,费
433,备
434,连
435,节
436,林
437,校
438,房
439,众
440,失
441,线
442,英
443,府
444,喜
445,拿
446,布
447,算
448,且
449,约
450,考
451,争
452,往
453,兴
454,类
455,江
456,具
457,远
458,空
459,谁
460,参
461,究
462,言
463,首
464,音
465,支
466,极
467,照
468,号
469,写
470,男
471,医
472,标
473,历
474,消
475,球
476,李
477,早
478,病
479,示
480,赛
481,复
482,亚
483,包
484,八
485,刚
486,较
487,况
488,即
489,买
490,演
491,创
492,案
493,息
494,举
495,满
496,史
497,投
498,热
499,容
500,站
501,群
502,推
503,夫
504,越
505,试
506,希
507,火
508,帮
509,习
510,星
511,九
512,装
513,红
514,六
515,护
516,续
517,留
518,诉
519,讲
520,客
521,青
522,注
523,引
524,职
525,律
526,哪
527,族
528,巴
529,效
530,警
531,须
532,双
533,米
534,织
535,未
536,功
537,易
538,阿
539,游
540,千
541,岁
542,随
543,罗
544,纪
545,半
546,仅
547,称
548,妈
549,段
550,落
551,存
552,断
553,坐
554,县
555,助
556,营
557,责
558,严
559,划
560,施
561,环
562,低
563,送
564,验
565,料
566,除
567,石
568,维
569,响
570,势
571,积
572,飞
573,害
574,紧
575,错
576,官
577,底
578,例
579,轻
580,够
581,境
582,构
583,艺
584,曾
585,器
586,足
587,型
588,显
589,尽
590,优
591,卡
592,列
593,察
594,黑
595,七
596,值
597,协
598,按
599,班
600,土
601,坚
602,采
603,州
604,供
605,河
606,室
607,击
608,排
609,念
610,养
611,古
612,父
613,评
614,继
615,益
616,源
617,劳
618,厂
619,超
620,终
621,酒
622,母
623,态
624,款
625,待
626,谢
627,层
628,黄
629,博
630,速
631,香
632,防
633,占
634,突
635,另
636,愿
637,版
638,股
639,您
640,副
641,杀
642,份
643,食
644,伤
645,脸
646,读
647,舞
648,哥
649,批
650,致
651,初
652,穿
653,故
654,楼
655,户
656,微
657,绝
658,密
659,破
660,乡
661,素
662,亿
663,搞
664,画
665,负
666,衣
667,停
668,宝
669,阳
670,朋
671,令
672,哈
673,奇
674,歌
675,久
676,均
677,派
678,怕
679,武
680,获
681,富
682,依
683,阶
684,率
685,席
686,担
687,店
688,兰
689,居
690,剧
691,春
692,模
693,闻
694,修
695,止
696,呀
697,脑
698,云
699,苦
700,抓
701,余
702,围
703,策
704,似
705,尼
706,某
707,血
708,乎
709,倒
710,斗
711,睡
712,央
713,油
714,句
715,票
716,普
717,毛
718,跑
719,差
720,细
721,独
722,掉
723,座
724,适
725,夜
726,范
