rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
60010,1,采蜜,cǎimì,,,动,蜜蜂采集花蜜,
60010,2,采蜜,cǎimì,,,动,从蜜蜂蜂巢里采集蜂蜜,
60012,1,不虞,bùyú,,,动,没有料想到,不虞之誉｜不虞中途遇雨，耽误归期。
60012,2,不虞,bùyú,,,名,没有料想到的事情,有备无患，以防不虞。
60025,1,好赖,hǎolài,,,名,【好歹】好的和坏的,
60025,2,好赖,hǎolài,,,副,【好歹】将就；凑和,
60025,3,好赖,hǎolài,,,副,【好歹】无论如何；不管怎么样,
60035,1,靡靡,mǐmǐ,,,形,迟缓；柔弱,步履靡靡｜细雨靡靡
60035,2,靡靡,mǐmǐ,,,形,萎靡颓废；特指乐声萎靡颓废,靡靡情调｜靡靡之音
60072,1,闹饥荒,nàojīhuang,,,,比喻经济上发生困难,这阵子闹饥荒，你能不能借点儿钱给我?
60072,2,闹饥荒,nàojīhuāng,,,,指遭到严重灾荒，粮食歉收,
60079,1,妖孽,yāoniè,,,名,指妖魔鬼怪及一切怪异反常的事物,
60079,2,妖孽,yāoniè,,,名,比喻危害他人或社会的人,铲除害国害民的妖孽。
60080,1,耳朵眼儿,ěrduoyǎnr,,,名,外耳和内耳的通道,
60080,2,耳朵眼儿,ěrduoyǎnr,,,名,在耳垂上扎的小孔，可以佩戴耳饰,
60082,1,焊缝,hànfèng,,,动,把金属工件的缝隙焊接起来,
60082,2,焊缝,hànfèng,,,名,金属部件焊接的部位或焊接留下的痕迹,
60088,1,雅静,yǎjìng,,,形,幽雅宁静,树木葱郁的小山庄，非常雅静。
60088,2,雅静,yǎjìng,,,形,文雅沉静,端庄雅静
60129,1,清盘,qīngpán,,,动,企业因破产、停业或其他原因不再继续经营时，依法清点和处理全部资产,破产清盘
60129,2,清盘,qīngpán,,,动,指清理电子计算机上的磁盘或清除其磁盘上的所有信息,
60153,1,炉渣,lúzhā,,,名,煤燃烧后结成的焦渣,
60153,2,炉渣,lúzhā,,,名,冶炼金属过程中产生的渣滓。有的可用来制造水泥、化肥等,
60174,1,右行,yòuxíng,,,动,向右边行走,出门右行几步就是。
60174,2,右行,yòuxíng,,,动,靠右边行走,车辆右行
60188,1,示例,shìlì,,,动,举出具体例证作为示范,
60188,2,示例,shìlì,,,名,具有示范作用的例证,
60222,1,墨线,mòxiàn,,,名,从墨斗里沾上墨汁的线,
60222,2,墨线,mòxiàn,,,名,用墨线打出的直线,
60230,1,应诊,yìngzhěn,,,动,接诊,
60230,2,应诊,yìngzhěn,,,动,接受诊疗,每天前来应诊的病人超过百名。
60240,1,商约,shāngyuē,,,名,国家或地区之间缔结的通商条约,
60240,2,商约,shāngyuē,,,动,商量约定,我俩商约今年暑假一起去旅游。
60259,1,翎毛,língmáo,,,名,羽毛,翎毛扇
60259,2,翎毛,língmáo,,,名,国画的一种，以鸟类为主要题材,
60275,1,查岗,chágǎng,,,动,查哨,
60275,2,查岗,chágǎng,,,动,检查职工在岗位上工作的情况,
60320,1,枯涩,kūsè,,,形,干燥不滑润,枯涩的眼睛
60320,2,枯涩,kūsè,,,形,枯燥乏味，不流畅,文笔枯涩
60331,1,闹心,nàoxīn,,,形,心乱；心烦,瓜地里又起了虫子，真让人闹心。
60331,2,闹心,nàoxīn,,,形,胃部不适；腹部难受,萝卜吃多了闹心
60354,1,哈气,hāqì,,,动,张口呼气,冻得直哈气｜哈了一口气
60354,2,哈气,hāqì,,,名,张口呼出的气,哈气在车窗玻璃上冻成了冰。
60354,3,哈气,hāqì,,,名,玻璃等物体表面凝结的水蒸气,
60371,1,鹞子,yàozi,,,名,雀鹰的俗称,
60371,2,鹞子,yàozi,,,名,某些地区指风筝,
60374,1,提级,tíjí,,,动,提高产品的质量等级,这批棉花质量不错，应该提级｜提级不提价
60374,2,提级,tíjí,,,动,提高工资、职务、职称等的级别,提级加薪
60388,1,黑户,hēihù,,,名,在居留地没有户籍或没有在户籍管理部门办理居留手续的住户,
60388,2,黑户,hēihù,,,名,借指没有合法经营权的经营单位,
60391,1,沦亡,lúnwáng,,,动,（国家、民族）灭亡,
60391,2,沦亡,lúnwáng,,,动,丧失,羞耻之心沦亡殆尽。
60393,1,黑枪,hēiqiāng,,,名,非法收藏的枪支,
60393,2,黑枪,hēiqiāng,,,名,乘人不备暗中射出的枪弹,遭黑枪暗杀
60411,1,孑遗,jiéyí,,,动,指物种在经历了大变故以后个别少量地存留,孑遗生物
60411,2,孑遗,jiéyí,,,名,〈文〉大变故以后个别少量存留的物种,靡有孑遗
60414,1,节略,jiélüè,,,动,删减；省略,节略了文章的开头和结尾。
60414,2,节略,jiélüè,,,名,纲要；摘要,只转发了文章的节略，没有发表全文。
60414,3,节略,jiélüè,,,名,重要性次于照会的外交文书。用以说明事实、证据或有关法律问题，不签字也不用印章,
60455,1,内聚力,nèijùlì,,,名,同一种物质内部相邻各部分之间的相互吸引力，是分子力的一种表现,
60455,2,内聚力,nèijùlì,,,名,比喻群体内相互团结合作的力量,要在内部营造一种良好的氛围，以增强内聚力。
60480,1,夹生饭,jiāshēngfàn,,,名,没有熟透的饭,煮了一锅夹生饭
60480,2,夹生饭,jiāshēngfàn,,,名,比喻开始没做好、重新再做便很难取得预期效果的事情,学习贪快，容易搞成夹生饭。
60517,1,冷处理,lěngchǔlǐ,,,动,工件淬火后立即放进低温空气中冷却，以提高其机械性能，或稳定工件尺寸,
60517,2,冷处理,lěngchǔlǐ,,,动,比喻事情发生后暂时不作处理，等待适当的时机再行处理,
60578,1,发懵,fāměng,,,动,发蒙（mēng）,
60578,2,发懵,fāměng,,,动,发呆,
60578,3,发懵,fāměng,,,动,发晕,头绪太多，叫人发懵。
60592,1,勾连,gōulián,,,动,勾结,相互勾连，狼狈为奸。
60592,2,勾连,gōulián,,,动,牵连,这事把他也勾连上了。
60610,1,苟合,gǒuhé,,,动,〈文〉无原则地附和或迎合,苟合取容
60610,2,苟合,gǒuhé,,,动,苟且结合；多指男女之间不正当地结合,
60661,1,一闪念,yīshǎnniàn,,,动,（头脑）突然出现一个念头,脑子里突然一闪念：这是骗局。
60661,2,一闪念,yīshǎnniàn,,,名,突然出现的念头,这一闪念后来竟变成了事实。
60736,1,杂食,záshí,,,形,既吃动物又吃植物的,杂食动物
60736,2,杂食,záshí,,,名,多样的食物,吃杂食
60752,1,门脸儿,ménliǎnr,,,名,商店的门面,五间门脸儿的大药铺。
60752,2,门脸儿,ménliǎnr,,,名,借指商店,开个小门脸儿
60783,1,开伙,kāihuǒ,,,动,办伙食,我们公司不开伙｜自己在家开伙
60783,2,开伙,kāihuǒ,,,动,（集体食堂等）开始供应饭食,机关从明天起开伙。
60786,1,蜕皮,tuìpí,,,动,节肢动物和爬行动物生长过程中脱去旧皮，长出新皮,这条蛇刚刚蜕皮
60786,2,蜕皮,tuìpí,,,动,表皮脱落,后背晒蜕皮了
60830,1,刨床,bàochuáng,,,名,刨子上用来安装刨刀的木制部分,
60830,2,刨床,bàochuáng,,,名,金属切削机床，主要用来刨削平面,
60836,1,潮润,cháorùn,,,形,（空气、土壤等）湿润,
60836,2,潮润,cháorùn,,,形,含泪的样子,她两眼潮润，激动得说不下去了。
60844,1,采制,cǎizhì,,,动,采集并加工制作,采制中草药
60844,2,采制,cǎizhì,,,动,采访并制作,采制新闻节目
60877,1,偏房,piānfáng,,,名,四合院里东西两侧的房子,
60877,2,偏房,piānfáng,,,名,【妾】旧时男子除正妻以外另娶的女子,
60878,1,清账,qīngzhàng,,,动,清理或清查账目,会计正在清账｜上面派人来清账
